year,province_code,subject_track,score,count,cumulative_count,rank_min,rank_max,source_id
2023,AH,history,405,485,70074,69590,70074,src_collected_ah_2023_score_segments
2023,AH,history,406,555,69589,69035,69589,src_collected_ah_2023_score_segments
2023,AH,history,407,590,69034,68445,69034,src_collected_ah_2023_score_segments
2023,AH,history,408,539,68444,67906,68444,src_collected_ah_2023_score_segments
2023,AH,history,409,507,67905,67399,67905,src_collected_ah_2023_score_segments
2023,AH,history,410,517,67398,66882,67398,src_collected_ah_2023_score_segments
2023,AH,history,411,534,66881,66348,66881,src_collected_ah_2023_score_segments
2023,AH,history,412,514,66347,65834,66347,src_collected_ah_2023_score_segments
2023,AH,history,413,524,65833,65310,65833,src_collected_ah_2023_score_segments
2023,AH,history,414,540,65309,64770,65309,src_collected_ah_2023_score_segments
2023,AH,history,415,500,64769,64270,64769,src_collected_ah_2023_score_segments
2023,AH,history,416,535,64269,63735,64269,src_collected_ah_2023_score_segments
2023,AH,history,417,493,63734,63242,63734,src_collected_ah_2023_score_segments
2023,AH,history,418,526,63241,62716,63241,src_collected_ah_2023_score_segments
2023,AH,history,419,507,62715,62209,62715,src_collected_ah_2023_score_segments
2023,AH,history,420,563,62208,61646,62208,src_collected_ah_2023_score_segments
2023,AH,history,421,539,61645,61107,61645,src_collected_ah_2023_score_segments
2023,AH,history,422,491,61106,60616,61106,src_collected_ah_2023_score_segments
2023,AH,history,423,517,60615,60099,60615,src_collected_ah_2023_score_segments
2023,AH,history,424,526,60098,59573,60098,src_collected_ah_2023_score_segments
2023,AH,history,425,525,59572,59048,59572,src_collected_ah_2023_score_segments
2023,AH,history,426,507,59047,58541,59047,src_collected_ah_2023_score_segments
2023,AH,history,427,535,58540,58006,58540,src_collected_ah_2023_score_segments
2023,AH,history,428,522,58005,57484,58005,src_collected_ah_2023_score_segments
2023,AH,history,429,510,57483,56974,57483,src_collected_ah_2023_score_segments
2023,AH,history,430,507,56973,56467,56973,src_collected_ah_2023_score_segments
2023,AH,history,431,495,56466,55972,56466,src_collected_ah_2023_score_segments
2023,AH,history,432,554,55971,55418,55971,src_collected_ah_2023_score_segments
2023,AH,history,433,486,55417,54932,55417,src_collected_ah_2023_score_segments
2023,AH,history,434,498,54931,54434,54931,src_collected_ah_2023_score_segments
2023,AH,history,435,510,54433,53924,54433,src_collected_ah_2023_score_segments
2023,AH,history,436,496,53923,53428,53923,src_collected_ah_2023_score_segments
2023,AH,history,437,487,53427,52941,53427,src_collected_ah_2023_score_segments
2023,AH,history,438,520,52940,52421,52940,src_collected_ah_2023_score_segments
2023,AH,history,439,515,52420,51906,52420,src_collected_ah_2023_score_segments
2023,AH,history,440,479,51905,51427,51905,src_collected_ah_2023_score_segments
2023,AH,history,441,462,51426,50965,51426,src_collected_ah_2023_score_segments
2023,AH,history,442,494,50964,50471,50964,src_collected_ah_2023_score_segments
2023,AH,history,443,480,50470,49991,50470,src_collected_ah_2023_score_segments
2023,AH,history,444,490,49990,49501,49990,src_collected_ah_2023_score_segments
2023,AH,history,445,490,49500,49011,49500,src_collected_ah_2023_score_segments
2023,AH,history,446,541,49010,48470,49010,src_collected_ah_2023_score_segments
2023,AH,history,447,469,48469,48001,48469,src_collected_ah_2023_score_segments
2023,AH,history,448,518,48000,47483,48000,src_collected_ah_2023_score_segments
2023,AH,history,449,475,47482,47008,47482,src_collected_ah_2023_score_segments
2023,AH,history,450,511,47007,46497,47007,src_collected_ah_2023_score_segments
2023,AH,history,451,463,46496,46034,46496,src_collected_ah_2023_score_segments
2023,AH,history,452,475,46033,45559,46033,src_collected_ah_2023_score_segments
2023,AH,history,453,485,45558,45074,45558,src_collected_ah_2023_score_segments
2023,AH,history,454,495,45073,44579,45073,src_collected_ah_2023_score_segments
2023,AH,history,455,483,44578,44096,44578,src_collected_ah_2023_score_segments
2023,AH,history,456,502,44095,43594,44095,src_collected_ah_2023_score_segments
2023,AH,history,457,493,43593,43101,43593,src_collected_ah_2023_score_segments
2023,AH,history,458,465,43100,42636,43100,src_collected_ah_2023_score_segments
2023,AH,history,459,522,42635,42114,42635,src_collected_ah_2023_score_segments
2023,AH,history,460,489,42113,41625,42113,src_collected_ah_2023_score_segments
2023,AH,history,461,506,41624,41119,41624,src_collected_ah_2023_score_segments
2023,AH,history,462,479,41118,40640,41118,src_collected_ah_2023_score_segments
2023,AH,history,463,474,40639,40166,40639,src_collected_ah_2023_score_segments
2023,AH,history,464,508,40165,39658,40165,src_collected_ah_2023_score_segments
2023,AH,history,465,512,39657,39146,39657,src_collected_ah_2023_score_segments
2023,AH,history,466,484,39145,38662,39145,src_collected_ah_2023_score_segments
2023,AH,history,467,494,38661,38168,38661,src_collected_ah_2023_score_segments
2023,AH,history,468,476,38167,37692,38167,src_collected_ah_2023_score_segments
2023,AH,history,469,475,37691,37217,37691,src_collected_ah_2023_score_segments
2023,AH,history,470,532,37216,36685,37216,src_collected_ah_2023_score_segments
2023,AH,history,471,495,36684,36190,36684,src_collected_ah_2023_score_segments
2023,AH,history,472,494,36189,35696,36189,src_collected_ah_2023_score_segments
2023,AH,history,473,478,35695,35218,35695,src_collected_ah_2023_score_segments
2023,AH,history,474,486,35217,34732,35217,src_collected_ah_2023_score_segments
2023,AH,history,475,474,34731,34258,34731,src_collected_ah_2023_score_segments
2023,AH,history,476,486,34257,33772,34257,src_collected_ah_2023_score_segments
2023,AH,history,477,500,33771,33272,33771,src_collected_ah_2023_score_segments
2023,AH,history,478,460,33271,32812,33271,src_collected_ah_2023_score_segments
2023,AH,history,479,485,32811,32327,32811,src_collected_ah_2023_score_segments
2023,AH,history,480,450,32326,31877,32326,src_collected_ah_2023_score_segments
2023,AH,history,481,501,31876,31376,31876,src_collected_ah_2023_score_segments
2023,AH,history,482,449,31375,30927,31375,src_collected_ah_2023_score_segments
2023,AH,history,483,483,30926,30444,30926,src_collected_ah_2023_score_segments
2023,AH,history,484,463,30443,29981,30443,src_collected_ah_2023_score_segments
2023,AH,history,485,472,29980,29509,29980,src_collected_ah_2023_score_segments
2023,AH,history,486,467,29508,29042,29508,src_collected_ah_2023_score_segments
2023,AH,history,487,441,29041,28601,29041,src_collected_ah_2023_score_segments
2023,AH,history,488,454,28600,28147,28600,src_collected_ah_2023_score_segments
2023,AH,history,489,471,28146,27676,28146,src_collected_ah_2023_score_segments
2023,AH,history,490,458,27675,27218,27675,src_collected_ah_2023_score_segments
2023,AH,history,491,478,27217,26740,27217,src_collected_ah_2023_score_segments
2023,AH,history,492,427,26739,26313,26739,src_collected_ah_2023_score_segments
2023,AH,history,493,431,26312,25882,26312,src_collected_ah_2023_score_segments
2023,AH,history,494,468,25881,25414,25881,src_collected_ah_2023_score_segments
2023,AH,history,495,445,25413,24969,25413,src_collected_ah_2023_score_segments
2023,AH,history,496,430,24968,24539,24968,src_collected_ah_2023_score_segments
2023,AH,history,497,453,24538,24086,24538,src_collected_ah_2023_score_segments
2023,AH,history,498,433,24085,23653,24085,src_collected_ah_2023_score_segments
2023,AH,history,499,450,23652,23203,23652,src_collected_ah_2023_score_segments
2023,AH,history,500,437,23202,22766,23202,src_collected_ah_2023_score_segments
2023,AH,history,501,411,22765,22355,22765,src_collected_ah_2023_score_segments
2023,AH,history,502,430,22354,21925,22354,src_collected_ah_2023_score_segments
2023,AH,history,503,418,21924,21507,21924,src_collected_ah_2023_score_segments
2023,AH,history,504,426,21506,21081,21506,src_collected_ah_2023_score_segments
2023,AH,history,505,405,21080,20676,21080,src_collected_ah_2023_score_segments
2023,AH,history,506,415,20675,20261,20675,src_collected_ah_2023_score_segments
2023,AH,history,507,437,20260,19824,20260,src_collected_ah_2023_score_segments
