year,province_code,batch_code,subject_track,college_code,group_code,major_code,min_score,min_rank,avg_score,avg_rank,max_score,max_rank,admitted_count,source_id
2025,AH,ordinary_undergraduate,history,1057,001,,532,19872,,,,,2,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1057,002,,521,23839,,,,,2,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1060,003,,642,336,,,,,20,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1061,003,,632,655,,,,,5,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1062,001,,527,21606,,,,,,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1063,003,,589,4963,,,,,3,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1063,004,,596,3967,,,,,1,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1063,005,,535,18719,,,,,4,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1063,006,,588,5042,,,,,2,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1064,004,,619,1388,,,,,16,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1064,005,,619,1441,,,,,4,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1064,006,,603,2941,,,,,1,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1066,001,,548,14446,,,,,4,src_ah_2025_admission_history
