year,province_code,batch_code,subject_track,college_code,group_code,college_name,subject_requirement,group_note,source_id
2024,AH,ordinary_undergraduate,history,1040,001,北京化工大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1042,001,北京交通大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1048,001,北京科技大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1049,001,北京科技大学天津学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1051,001,北京理工大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1052,001,北京联合大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1052,002,北京联合大学,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1053,002,北京林业大学,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1053,003,北京林业大学,地理,"003专业组（地理）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1054,001,北京农学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1054,002,北京农学院,不限,"002专业组（不限）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1057,003,北京师范大学,不限,"003专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1058,004,北京师范大学（珠海校区）,不限,"004专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1059,001,北京师范大学-香港浸会大学联合国际学院,不限,"001专业组（不限）（合作办学）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1060,001,北京石油化工学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1061,003,北京体育大学,不限,"003专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1061,004,北京体育大学,不限,"004专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1061,005,北京体育大学,不限,"005专业组（不限）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1061,006,北京体育大学,思想政治,"006专业组（思想政治）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1062,004,北京外国语大学,不限,"004专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1062,005,北京外国语大学,思想政治,"005专业组（思想政治）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
